source,url,description,concepts,,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143417,Count to 100 by ones and by tens.,[],,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143419,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,"[{""text"":""Number"",""relevance"":""0.963692"",""dbpedia"":""http://dbpedia.org/resource/Number"",""freebase"":""http://rdf.freebase.com/ns/m.05fwb""},{""text"":""Natural number"",""relevance"":""0.628174"",""dbpedia"":""http://dbpedia.org/resource/Natural_number"",""freebase"":""http://rdf.freebase.com/ns/m.05d2f"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVie2ZwpEbGdrcN5Y29ycA""},{""text"":""Writing"",""relevance"":""0.5607"",""dbpedia"":""http://dbpedia.org/resource/Writing"",""freebase"":""http://rdf.freebase.com/ns/m.081rb"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVjLvpwpEbGdrcN5Y29ycA""},{""text"":""Grammatical number"",""relevance"":""0.53046"",""dbpedia"":""http://dbpedia.org/resource/Grammatical_number"",""freebase"":""http://rdf.freebase.com/ns/m.0bm3p""},{""text"":""Numeral system"",""relevance"":""0.528843"",""dbpedia"":""http://dbpedia.org/resource/Numeral_system"",""freebase"":""http://rdf.freebase.com/ns/m.059n4"",""yago"":""http://yago-knowledge.org/resource/Numeral_system""},{""text"":""Writing system"",""relevance"":""0.5103"",""dbpedia"":""http://dbpedia.org/resource/Writing_system"",""freebase"":""http://rdf.freebase.com/ns/m.0844v"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVjwlZwpEbGdrcN5Y29ycA""},{""text"":""Numbers"",""relevance"":""0.508255"",""dbpedia"":""http://dbpedia.org/resource/Numbers""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114341A,Understand the relationship between numbers and quantities; connect counting to cardinality.,"[{""text"":""Finite set"",""relevance"":""0.9072"",""dbpedia"":""http://dbpedia.org/resource/Finite_set"",""freebase"":""http://rdf.freebase.com/ns/m.033f5"",""yago"":""http://yago-knowledge.org/resource/Finite_set""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143418,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,"[{""text"":""Natural number"",""relevance"":""0.917944"",""dbpedia"":""http://dbpedia.org/resource/Natural_number"",""freebase"":""http://rdf.freebase.com/ns/m.05d2f"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVie2ZwpEbGdrcN5Y29ycA""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114341B,"Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1ï¿½ï¿½ï¿½20, count out that many objects.","[{""text"":""Array"",""relevance"":""0.886784"",""dbpedia"":""http://dbpedia.org/resource/Array""},{""text"":""Question"",""relevance"":""0.8704"",""dbpedia"":""http://dbpedia.org/resource/Question"",""freebase"":""http://rdf.freebase.com/ns/m.02h_12""},{""text"":""Answer"",""relevance"":""0.821826"",""dbpedia"":""http://dbpedia.org/resource/Answer"",""freebase"":""http://rdf.freebase.com/ns/m.0hnv""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114341E,"Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.",[],,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114341F,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.","[{""text"":""Subtraction"",""relevance"":""0.938227"",""dbpedia"":""http://dbpedia.org/resource/Subtraction"",""freebase"":""http://rdf.freebase.com/ns/m.0jt6w""},{""text"":""Problem solving"",""relevance"":""0.915043"",""dbpedia"":""http://dbpedia.org/resource/Problem_solving"",""freebase"":""http://rdf.freebase.com/ns/m.053w_z""},{""text"":""Addition"",""relevance"":""0.909247"",""dbpedia"":""http://dbpedia.org/resource/Addition"",""freebase"":""http://rdf.freebase.com/ns/m.0gmqy""},{""text"":""Plus and minus signs"",""relevance"":""0.880267"",""dbpedia"":""http://dbpedia.org/resource/Plus_and_minus_signs"",""freebase"":""http://rdf.freebase.com/ns/m.01khrx""},{""text"":""Elementary arithmetic"",""relevance"":""0.861258"",""dbpedia"":""http://dbpedia.org/resource/Elementary_arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.05b_vw""},{""text"":""Integer"",""relevance"":""0.849886"",""dbpedia"":""http://dbpedia.org/resource/Integer"",""freebase"":""http://rdf.freebase.com/ns/m.03rv4"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA""},{""text"":""Negative and non-negative numbers"",""relevance"":""0.828979"",""dbpedia"":""http://dbpedia.org/resource/Negative_and_non-negative_numbers"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rv2r7MpwpEbGdrcN5Y29ycA""},{""text"":""Mathematics"",""relevance"":""0.776552"",""dbpedia"":""http://dbpedia.org/resource/Mathematics"",""freebase"":""http://rdf.freebase.com/ns/m.04rjg"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVjHd5wpEbGdrcN5Y29ycA""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114341C,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.","[{""text"":""Equality"",""relevance"":""0.966"",""dbpedia"":""http://dbpedia.org/resource/Equality_(mathematics)"",""freebase"":""http://rdf.freebase.com/ns/m.0mghn""},{""text"":""Inequality"",""relevance"":""0.777"",""dbpedia"":""http://dbpedia.org/resource/Inequality"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rx7sfUi_3QdiFk9ns9M_aHA""},{""text"":""Binary relation"",""relevance"":""0.699"",""dbpedia"":""http://dbpedia.org/resource/Binary_relation"",""freebase"":""http://rdf.freebase.com/ns/m.018yh"",""yago"":""http://yago-knowledge.org/resource/Binary_relation""},{""text"":""Natural number"",""relevance"":""0.579773"",""dbpedia"":""http://dbpedia.org/resource/Natural_number"",""freebase"":""http://rdf.freebase.com/ns/m.05d2f"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVie2ZwpEbGdrcN5Y29ycA""},{""text"":""Equals sign"",""relevance"":""0.534"",""dbpedia"":""http://dbpedia.org/resource/Equals_sign"",""freebase"":""http://rdf.freebase.com/ns/m.02hzdj"",""yago"":""http://yago-knowledge.org/resource/Equals_sign""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143420,"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).",[],,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S114341D,Compare two numbers between 1 and 10 presented as written numerals.,"[{""text"":""Number"",""relevance"":""0.91712"",""dbpedia"":""http://dbpedia.org/resource/Number"",""freebase"":""http://rdf.freebase.com/ns/m.05fwb""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143421,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.","[{""text"":""Drawing"",""relevance"":""0.886784"",""dbpedia"":""http://dbpedia.org/resource/Drawing"",""freebase"":""http://rdf.freebase.com/ns/m.02csf""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143422,Fluently add and subtract within 5.,[],,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143438,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.","[{""text"":""Addition"",""relevance"":""0.938227"",""dbpedia"":""http://dbpedia.org/resource/Addition"",""freebase"":""http://rdf.freebase.com/ns/m.0gmqy""},{""text"":""Problem solving"",""relevance"":""0.915043"",""dbpedia"":""http://dbpedia.org/resource/Problem_solving"",""freebase"":""http://rdf.freebase.com/ns/m.053w_z""},{""text"":""Subtraction"",""relevance"":""0.909247"",""dbpedia"":""http://dbpedia.org/resource/Subtraction"",""freebase"":""http://rdf.freebase.com/ns/m.0jt6w""},{""text"":""Plus and minus signs"",""relevance"":""0.880267"",""dbpedia"":""http://dbpedia.org/resource/Plus_and_minus_signs"",""freebase"":""http://rdf.freebase.com/ns/m.01khrx""},{""text"":""Integer"",""relevance"":""0.865077"",""dbpedia"":""http://dbpedia.org/resource/Integer"",""freebase"":""http://rdf.freebase.com/ns/m.03rv4"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA""},{""text"":""Real number"",""relevance"":""0.834812"",""dbpedia"":""http://dbpedia.org/resource/Real_number"",""freebase"":""http://rdf.freebase.com/ns/m.06dvm"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvViAmJwpEbGdrcN5Y29ycA""},{""text"":""Elementary arithmetic"",""relevance"":""0.823458"",""dbpedia"":""http://dbpedia.org/resource/Elementary_arithmetic"",""freebase"":""http://rdf.freebase.com/ns/m.05b_vw""},{""text"":""0"",""relevance"":""0.796847"",""dbpedia"":""http://dbpedia.org/resource/0_(number)"",""freebase"":""http://rdf.freebase.com/ns/m.089n7"",""opencyc"":""http://sw.opencyc.org/concept/Mx4r2A28ECpeQdeKe9sqeht30A"",""yago"":""http://yago-knowledge.org/resource/0_(number)""}]",,,,,,
CCSS.Math.Content,http://asn.jesandco.org/resources/S1143439,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.","[{""text"":""Problem solving"",""relevance"":""0.915043"",""dbpedia"":""http://dbpedia.org/resource/Problem_solving"",""freebase"":""http://rdf.freebase.com/ns/m.053w_z""},{""text"":""Plus and minus signs"",""relevance"":""0.800832"",""dbpedia"":""http://dbpedia.org/resource/Plus_and_minus_signs"",""freebase"":""http://rdf.freebase.com/ns/m.01khrx""},{""text"":""Addition"",""relevance"":""0.796824"",""dbpedia"":""http://dbpedia.org/resource/Addition"",""freebase"":""http://rdf.freebase.com/ns/m.0gmqy""},{""text"":""Real number"",""relevance"":""0.785564"",""dbpedia"":""http://dbpedia.org/resource/Real_number"",""freebase"":""http://rdf.freebase.com/ns/m.06dvm"",""opencyc"":""http://sw.opencyc.org/concept/Mx4rvViAmJwpEbGdrcN5Y29ycA""},{""text"":""0"",""relevance"":""0.77468"",""dbpedia"":""http://dbpedia.org/resource/0_(number)"",""freebase"":""http://rdf.freebase.com/ns/m.089n7"",""opencyc"":""http://sw.opencyc.org/concept/Mx4r2A28ECpeQdeKe9sqeht30A"",""yago"":""http://yago-knowledge.org/resource/0_(number)""}]",,,,,,
